Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Days
12/17/1982,11,957256, ,465,2059,9572561,10910
12/24/1982,10,1296732,35%,750,1729,3426971,10917
12/31/1982,10,2575629,99%,800,3220,9453922,10924
1/7/1983,10,1342069,-48%,656,2046,11268000,10931
1/14/1983,11,825772,-38%,458,1803,12525363,10938
1/21/1983,17,410313,-50%,398,1031,13176122,10945
1/28/1983,15,425280,4%,410,1037,13850481,10952
7/14/1989,5,5611785, ,1475,3805,5611785,13311
7/21/1989,6,4349121,-23%,1533,2837,14333560,13318
7/28/1989,10,2329615,-46%,1422,1638,19449584,13325
9/1/1989,25,502319, ,640,785,27312145,13360
